rank,token_id,count,frequency,cumulative_freq
358,1518,293,0.061724753943642977,65.58708035593908
359,377,292,0.06151408925441554,65.6485944451935
360,1672,292,0.06151408925441554,65.71010853444791
361,348,291,0.06130342456518808,65.7714119590131
362,1654,291,0.06130342456518808,65.83271538357828
363,614,291,0.06130342456518808,65.89401880814346
364,637,291,0.06130342456518808,65.95532223270864
365,1779,290,0.06109275987596063,66.0164149925846
366,749,290,0.06109275987596063,66.07750775246056
367,474,290,0.06109275987596063,66.13860051233652
368,158,289,0.06088209518673318,66.19948260752325
369,841,288,0.06067143049750573,66.26015403802076
370,270,288,0.06067143049750573,66.32082546851827
371,1543,288,0.06067143049750573,66.38149689901577
372,76,286,0.06025010111905083,66.44174700013482
373,324,286,0.06025010111905083,66.50199710125388
374,1729,286,0.06025010111905083,66.56224720237293
375,1250,285,0.06003943642982338,66.62228663880275
376,1267,285,0.06003943642982338,66.68232607523257
377,825,283,0.059618107051368475,66.74194418228393
378,551,283,0.059618107051368475,66.8015622893353
379,944,282,0.05940744236214103,66.86096973169744
380,1402,282,0.05940744236214103,66.92037717405958
381,1546,282,0.05940744236214103,66.97978461642172
382,1069,281,0.05919677767291358,67.03898139409463
383,790,281,0.05919677767291358,67.09817817176754
384,4,281,0.05919677767291358,67.15737494944045
385,714,281,0.05919677767291358,67.21657172711336
386,559,281,0.05919677767291358,67.27576850478627
387,333,281,0.05919677767291358,67.33496528245918
388,844,280,0.05898611298368612,67.39395139544287
389,1712,280,0.05898611298368612,67.45293750842656
390,393,280,0.05898611298368612,67.51192362141025
391,487,279,0.05877544829445868,67.5706990697047
392,1680,279,0.05877544829445868,67.62947451799916
393,1625,279,0.05877544829445868,67.68824996629361
394,1694,279,0.05877544829445868,67.74702541458807
395,1369,279,0.05877544829445868,67.80580086288252
396,592,278,0.05856478360523122,67.86436564648776
397,1403,278,0.05856478360523122,67.92293043009299
398,648,277,0.05835411891600377,67.98128454900899
399,556,277,0.05835411891600377,68.03963866792499
400,510,277,0.05835411891600377,68.09799278684099
401,23,276,0.05814345422677633,68.15613624106777
402,1641,274,0.05772212484832142,68.2138583659161
403,1089,274,0.05772212484832142,68.27158049076442
404,141,272,0.05730079546986652,68.32888128623429
405,920,272,0.05730079546986652,68.38618208170416
406,27,272,0.05730079546986652,68.44348287717403
407,1768,272,0.05730079546986652,68.5007836726439
408,1605,271,0.05709013078063907,68.55787380342454
409,1235,271,0.05709013078063907,68.61496393420518
410,408,270,0.056879466091411625,68.6718434002966
411,239,270,0.056879466091411625,68.72872286638801
412,1295,270,0.056879466091411625,68.78560233247943
413,1327,269,0.05666880140218417,68.84227113388161
414,1627,269,0.05666880140218417,68.89893993528379
415,1721,268,0.05645813671295672,68.95539807199675
416,1600,268,0.05645813671295672,69.01185620870972
417,1598,268,0.05645813671295672,69.06831434542268
418,1387,268,0.05645813671295672,69.12477248213564
419,1703,268,0.05645813671295672,69.1812306188486
420,1674,267,0.056247472023729275,69.23747809087233
421,1532,267,0.056247472023729275,69.29372556289606
422,630,266,0.05603680733450182,69.34976237023056
423,1670,266,0.05603680733450182,69.40579917756507
424,328,266,0.05603680733450182,69.46183598489958
425,320,266,0.05603680733450182,69.51787279223409
426,634,266,0.05603680733450182,69.5739095995686
427,426,264,0.055615477956046926,69.62952507752465
428,1634,264,0.055615477956046926,69.6851405554807
429,36,264,0.055615477956046926,69.74075603343675
430,343,263,0.055404813266819466,69.79616084670357
431,325,263,0.055404813266819466,69.85156565997039
432,207,263,0.055404813266819466,69.90697047323721
433,1081,262,0.055194148577592014,69.96216462181481
434,1623,262,0.055194148577592014,70.0173587703924
435,309,261,0.054983483888364576,70.07234225428077
436,485,261,0.054983483888364576,70.12732573816913
437,1661,261,0.054983483888364576,70.1823092220575
438,856,261,0.054983483888364576,70.23729270594586
439,1018,260,0.05477281919913712,70.292065525145
440,858,260,0.05477281919913712,70.34683834434415
441,1653,260,0.05477281919913712,70.4016111635433
442,154,259,0.054562154509909665,70.4561733180532
443,1534,259,0.054562154509909665,70.51073547256311
444,1640,259,0.054562154509909665,70.56529762707302
445,1718,259,0.054562154509909665,70.61985978158293
446,1312,258,0.05435148982068221,70.6742112714036
447,1614,258,0.05435148982068221,70.72856276122428
448,1651,257,0.05414082513145477,70.78270358635574
449,1441,257,0.05414082513145477,70.83684441148719
450,1662,257,0.05414082513145477,70.89098523661865
451,420,257,0.05414082513145477,70.9451260617501
452,1480,257,0.05414082513145477,70.99926688688156
453,1748,257,0.05414082513145477,71.05340771201301
454,1266,256,0.053930160442227315,71.10733787245523
455,138,255,0.05371949575299986,71.16105736820823
456,230,254,0.05350883106377242,71.214566199272
457,1491,254,0.05350883106377242,71.26807503033577
458,16,254,0.05350883106377242,71.32158386139953
459,1709,254,0.05350883106377242,71.3750926924633
460,1740,254,0.05350883106377242,71.42860152352706
461,1755,253,0.053298166374544965,71.48189968990161
462,783,253,0.053298166374544965,71.53519785627616
463,399,252,0.053087501685317506,71.58828535796147
464,1513,252,0.053087501685317506,71.64137285964678
465,549,251,0.05287683699609007,71.69424969664287
