token_id,count,acc
1228,21,0.0
1229,11,0.0
1230,11,0.0
1231,6,0.0
1232,3,0.0
1233,5,0.0
1234,8,0.0
1235,14,0.0
1236,15,0.0
1237,9,0.0
1238,25,0.0
1239,14,0.0
1240,14,0.0
1241,30,0.0
1242,31,0.0
1243,18,0.0
1244,17,0.0
1245,9,0.0
1246,3,0.0
1247,17,0.0
1248,10,0.0
1249,8,0.0
1250,18,0.0
1251,5,0.0
1252,16,0.0
1253,14,0.0
1255,8,0.0
1256,18,0.0
1257,9,0.0
1258,7,0.0
1259,31,0.0
1260,1,0.0
1261,17,0.0
1262,9,0.0
1263,17,0.0
1264,5,0.0
1265,9,0.0
1266,11,0.0
1267,27,0.0
1268,3,0.0
1269,17,0.0
1270,24,0.0
1271,1,0.0
1272,10,0.0
1273,9,0.0
1274,12,0.0
1275,2,0.0
1276,6,0.0
1277,2,0.0
1278,30,0.0
1279,4,0.0
1280,11,0.0
1281,9,0.0
1282,7,0.0
1283,17,0.0
1284,8,0.0
1285,4,0.0
1286,17,0.0
1287,29,0.0
1288,10,0.0
1289,1,0.0
1290,18,0.0
1291,8,0.0
1292,8,0.0
1293,6,0.0
1294,3,0.0
1295,22,0.0
1296,20,0.0
1297,5,0.0
1298,9,0.0
1299,17,0.058823529411764705
1300,37,0.0
1301,4,0.0
1302,35,0.0
1303,5,0.0
1304,11,0.0
1305,6,0.0
1306,4,0.0
1307,2,0.0
1308,13,0.0
1309,3,0.0
1310,30,0.03333333333333333
1311,1,0.0
1312,24,0.0
1313,17,0.0
1314,13,0.0
1315,8,0.0
1317,4,0.0
1318,11,0.0
1319,5,0.0
1320,22,0.0
1321,3,0.0
1322,11,0.0
1323,21,0.0
1324,14,0.0
1325,24,0.0
1326,22,0.0
1327,15,0.0
1328,3,0.0
1329,19,0.0
1330,16,0.0
1331,24,0.0
1332,19,0.0
1333,6,0.0
1334,2,0.0
1335,27,0.0
1336,12,0.0
1337,35,0.0
1338,16,0.0
1339,18,0.0
1340,22,0.0
1341,22,0.0
1342,15,0.0
1343,6,0.0
1344,15,0.0
1345,23,0.0
1346,10,0.0
1347,3,0.0
1348,9,0.0
1349,16,0.0
1350,17,0.0
1351,18,0.0
1352,4,0.0
1353,19,0.0
1354,18,0.0
1355,16,0.0
1356,8,0.0
1357,9,0.0
1358,12,0.0
1359,28,0.0
1360,3,0.0
1361,8,0.0
1362,23,0.0
1363,10,0.0
1364,20,0.0
1365,12,0.0
1366,11,0.0
1367,1,0.0
1368,27,0.0
1369,27,0.0
1370,11,0.0
1371,3,0.0
1372,14,0.0
1373,6,0.0
1374,18,0.0
1375,15,0.0
1376,19,0.0
1377,5,0.0
1378,6,0.0
1379,19,0.0
1380,7,0.0
1381,16,0.0
1382,24,0.0
1383,28,0.0
1384,12,0.0
1385,2,0.0
1386,11,0.0
1387,14,0.0
1388,17,0.0
1389,17,0.0
1390,14,0.0
1391,4,0.0
1392,15,0.0
1393,12,0.0
1394,19,0.0
1395,24,0.0
1396,22,0.0
1397,6,0.0
1398,8,0.0
1399,9,0.0
1400,21,0.0
1401,20,0.0
1402,14,0.0
1403,33,0.0
1404,11,0.0
1405,11,0.0
1406,28,0.0
1407,14,0.0
1408,4,0.0
1409,18,0.0
1410,20,0.0
1411,16,0.0
1412,15,0.0
1413,22,0.0
1414,4,0.0
1415,26,0.0
1416,18,0.0
1417,15,0.0
1418,1,0.0
1419,12,0.0
1420,10,0.0
1421,5,0.0
1422,27,0.0
1423,8,0.0
1424,5,0.0
1425,14,0.0
1426,25,0.0
1427,23,0.0
1428,8,0.0
1429,12,0.0
1430,25,0.0
1431,10,0.0
1432,12,0.0
1433,2,0.0
1434,16,0.0
1435,9,0.0
1436,19,0.0
1437,11,0.0
1438,14,0.0
1439,31,0.0
1440,14,0.0
1441,15,0.0
1442,7,0.0
1443,6,0.0
1444,20,0.0
1445,15,0.0
1446,13,0.0
1447,24,0.0
1448,3,0.0
1449,30,0.0
1450,10,0.0
1451,26,0.0
1452,21,0.0
1453,3,0.0
1454,5,0.0
1455,3,0.0
1456,5,0.0
1457,21,0.0
1458,2,0.0
1459,19,0.0
1460,21,0.0
1461,13,0.0
1462,15,0.0
1463,16,0.0
1464,5,0.0
1465,4,0.0
1466,21,0.0
1467,9,0.0
1468,28,0.0
1469,21,0.0
1470,28,0.0
1471,9,0.0
1472,20,0.0
1473,26,0.0
1474,20,0.0
1475,5,0.0
1476,12,0.0
1477,18,0.0
1478,2,0.0
1479,13,0.0
1480,16,0.0
1481,2,0.0
1482,25,0.0
1483,17,0.0
1484,12,0.0
1485,31,0.0
1486,7,0.0
1487,11,0.0
1488,17,0.0
1489,7,0.0
1490,23,0.0
1491,16,0.0
1492,16,0.0
1493,21,0.0
1494,24,0.0
1495,7,0.0
1496,13,0.0
1497,19,0.0
1498,19,0.0
1499,7,0.0
1500,20,0.0
1501,24,0.0
1502,27,0.0
1503,11,0.0
1504,5,0.0
1506,19,0.0
1507,6,0.0
1508,25,0.0
1509,14,0.0
1510,37,0.02702702702702703
1511,18,0.0
1512,17,0.0
1513,21,0.0
1514,11,0.0
1515,4,0.0
1516,15,0.0
1517,7,0.0
1518,20,0.0
1519,14,0.0
1520,21,0.0
1521,26,0.0
1523,18,0.0
1524,15,0.0
1525,9,0.0
1526,12,0.0
1527,13,0.0
1528,15,0.0
1529,4,0.0
1530,7,0.0
1531,6,0.0
1532,23,0.0
1533,9,0.0
1534,16,0.0
1535,18,0.0
1536,21,0.0
1537,14,0.0
1538,19,0.05263157894736842
1539,1,0.0
1540,13,0.0
1541,2,0.0
1542,22,0.0
1543,27,0.0
1544,16,0.0
1545,18,0.0
1546,15,0.0
1547,7,0.0
1548,24,0.0
1549,11,0.0
1550,10,0.0
1551,6,0.0
1552,16,0.0
1553,5,0.0
1554,16,0.0
1555,20,0.0
1556,3,0.0
1557,1,0.0
1558,17,0.0
1560,6,0.0
1561,1,0.0
