file_id,speaker,utt,kind,material,layer_idx,module_path,stage,abs_mean,rms,temp_std,delta_rms
girl9_clean_001,girl9,001,clean,clean,3,encoder.model[1].shortcut,residual,0.4907572865486145,0.9362548589706421,0.8400591611862183,0.2311318963766098
girl9_clean_001,girl9,001,clean,clean,4,encoder.model[3],downsample,5.376102447509766,7.8728928565979,7.331766128540039,10.119226455688477
girl9_clean_001,girl9,001,clean,clean,5,encoder.model[4].block[1],residual,16.966655731201172,23.841188430786133,21.756877899169922,33.990779876708984
girl9_clean_001,girl9,001,clean,clean,6,encoder.model[4].block[3],residual,24.977252960205078,38.50544738769531,32.43954849243164,55.14993667602539
girl9_clean_001,girl9,001,clean,clean,7,encoder.model[4].shortcut,residual,5.333883762359619,7.985665798187256,6.957148551940918,12.64919662475586
girl9_clean_001,girl9,001,clean,clean,8,encoder.model[6],downsample,35.76808547973633,53.263465881347656,46.22904968261719,77.74279022216797
girl9_clean_001,girl9,001,clean,clean,9,encoder.model[7].block[1],residual,46.46514892578125,71.38670349121094,60.964725494384766,99.80770874023438
girl9_clean_001,girl9,001,clean,clean,10,encoder.model[7].block[3],residual,17.070266723632812,32.5775032043457,22.009891510009766,44.77885437011719
girl9_clean_001,girl9,001,clean,clean,11,encoder.model[7].shortcut,residual,10.24453353881836,19.38148307800293,13.358125686645508,26.064985275268555
girl9_clean_001,girl9,001,clean,clean,12,encoder.model[9],downsample,12.752307891845703,22.61316680908203,11.79187297821045,19.321548461914062
girl9_clean_001,girl9,001,clean,clean,13,encoder.model[10].block[1],residual,7.010289192199707,15.890252113342285,7.591748237609863,12.10572624206543
girl9_clean_001,girl9,001,clean,clean,14,encoder.model[10].block[3],residual,1.2963241338729858,2.944769859313965,1.48195219039917,3.3366549015045166
girl9_clean_001,girl9,001,clean,clean,15,encoder.model[10].shortcut,residual,5.322976112365723,18.934886932373047,2.3970141410827637,2.885427474975586
girl9_clean_001,girl9,001,clean,clean,16,encoder.model[12],downsample,0.2360198050737381,0.4816375970840454,0.20259989798069,0.3283766508102417
girl9_clean_001,girl9,001,clean,clean,17,encoder.model[15],projection,0.25387609004974365,0.2967933714389801,0.17045190930366516,0.25253552198410034
boy4_box_001,boy4,001,ldv,box,0,encoder.model[0],stem,0.3029889464378357,0.6157973408699036,0.5198970437049866,0.08144225180149078
boy4_box_001,boy4,001,ldv,box,1,encoder.model[1].block[1],residual,0.9470962285995483,2.065943479537964,1.5301810503005981,0.28385230898857117
boy4_box_001,boy4,001,ldv,box,2,encoder.model[1].block[3],residual,1.2948157787322998,2.409578800201416,1.9934521913528442,0.5061730742454529
boy4_box_001,boy4,001,ldv,box,3,encoder.model[1].shortcut,residual,0.9675012826919556,1.8810923099517822,1.6596782207489014,0.2477983832359314
boy4_box_001,boy4,001,ldv,box,4,encoder.model[3],downsample,4.903048992156982,10.052495956420898,7.45583438873291,3.338714599609375
boy4_box_001,boy4,001,ldv,box,5,encoder.model[4].block[1],residual,13.528571128845215,24.257923126220703,19.109289169311523,11.075057029724121
boy4_box_001,boy4,001,ldv,box,6,encoder.model[4].block[3],residual,16.029760360717773,25.787731170654297,23.181058883666992,21.616207122802734
boy4_box_001,boy4,001,ldv,box,7,encoder.model[4].shortcut,residual,3.411294937133789,6.831760883331299,4.958808422088623,3.3290791511535645
boy4_box_001,boy4,001,ldv,box,8,encoder.model[6],downsample,22.625295639038086,41.4841423034668,33.699371337890625,53.29018020629883
boy4_box_001,boy4,001,ldv,box,9,encoder.model[7].block[1],residual,28.294384002685547,53.10752868652344,41.81711959838867,70.36662292480469
boy4_box_001,boy4,001,ldv,box,10,encoder.model[7].block[3],residual,12.717249870300293,29.947553634643555,19.248146057128906,33.4691162109375
boy4_box_001,boy4,001,ldv,box,11,encoder.model[7].shortcut,residual,7.849402904510498,17.887928009033203,12.141826629638672,20.17124366760254
boy4_box_001,boy4,001,ldv,box,12,encoder.model[9],downsample,9.415461540222168,20.407878875732422,11.854108810424805,22.508068084716797
boy4_box_001,boy4,001,ldv,box,13,encoder.model[10].block[1],residual,6.566190719604492,15.610002517700195,7.781454563140869,10.692399024963379
